3, "ずんだもん"
2, "四国めたん"
8, "春日部つむぎ" 
10, "雨晴はう" 
9, "波音リツ" 
11, "玄野武宏"
12, "白上虎太郎" 
13, "青山龍星"
14, "冥鳴ひまり"
16, "九州そら"
20, "もち子さん" 
21, "剣崎雌雄" 
23, "WhiteCUL" 
27, "後鬼" 
29, "No.7"
42, "ちび式じい" 
43, "櫻歌ミコ" 
46, "小夜/SAYO"
47, "ナースロボ＿タイプＴ"
